,Year,Category,Nominee,Additional Info,Won?,Film Name,Total Nominations
2317,1993 (66th),Best Picture,The Fugitive,"Arnold Kopelson, Producer",0,The Fugitive (1993),6
2318,1993 (66th),Best Picture,In the Name of the Father,"Jim Sheridan, Producer",0,In the Name of the Father (1993),6
2319,1993 (66th),Best Picture,The Piano,"Jan Chapman, Producer",0,The Piano (1993),6
2320,1993 (66th),Best Picture,The Remains of the Day,"Mike Nichols, John Calley and Ismail Merchant, Producers",0,The Remains of the Day (1993),7
2321,1993 (66th),Best Picture,Schindler's List,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",1,Schindler's List (1993),10
2438,1992 (65th),Best Picture,The Crying Game,"Stephen Woolley, Producer",0,The Crying Game (1992),5
2439,1992 (65th),Best Picture,A Few Good Men,"David Brown, Rob Reiner and Andrew Scheinman, Producers",0,A Few Good Men (1992),4
2440,1992 (65th),Best Picture,Howards End,"Ismail Merchant, Producer",0,Howards End (1992),7
2441,1992 (65th),Best Picture,Scent of a Woman,"Martin Brest, Producer",0,Scent of a Woman (1992),3
2442,1992 (65th),Best Picture,Unforgiven,"Clint Eastwood, Producer",1,Unforgiven (1992),7
2564,1991 (64th),Best Picture,Beauty and the Beast,"Don Hahn, Producer",0,Beauty and the Beast (1991),6
2565,1991 (64th),Best Picture,Bugsy,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",0,Bugsy (1991),8
2566,1991 (64th),Best Picture,JFK,"A. Kitman Ho and Oliver Stone, Producers",0,JFK (1991),6
2567,1991 (64th),Best Picture,The Prince of Tides,"Barbra Streisand and Andrew Karsch, Producers",0,The Prince of Tides (1991),5
2568,1991 (64th),Best Picture,The Silence of the Lambs,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",1,The Silence of the Lambs (1991),6
2689,1990 (63rd),Best Picture,Awakenings,"Walter F. Parkes and Lawrence Lasker, Producers",0,Awakenings (1990),2
2690,1990 (63rd),Best Picture,Dances With Wolves,"Jim Wilson and Kevin Costner, Producers",1,Dances With Wolves (1990),10
2691,1990 (63rd),Best Picture,Ghost,"Lisa Weinstein, Producer",0,Ghost (1990),4
2692,1990 (63rd),Best Picture,"The Godfather, Part III","Francis Ford Coppola, Producer",0,"The Godfather, Part III (1990)",6
2693,1990 (63rd),Best Picture,Good Fellas,"Irwin Winkler, Producer",0,Good Fellas (1990),5
2816,1989 (62nd),Best Picture,Born on the Fourth of July,"A. Kitman Ho and Oliver Stone, Producers",0,Born on the Fourth of July (1989),6
2817,1989 (62nd),Best Picture,Dead Poets Society,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",0,Dead Poets Society (1989),3
2818,1989 (62nd),Best Picture,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers",1,Driving Miss Daisy (1989),8
2819,1989 (62nd),Best Picture,Field of Dreams,"Lawrence Gordon and Charles Gordon, Producers",0,Field of Dreams (1989),2
2820,1989 (62nd),Best Picture,My Left Foot,"Noel Pearson, Producer",0,My Left Foot (1989),4
2931,1988 (61st),Best Picture,The Accidental Tourist,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers",0,The Accidental Tourist (1988),3
2932,1988 (61st),Best Picture,Dangerous Liaisons,"Norma Heyman and Hank Moonjean, Producers",0,Dangerous Liaisons (1988),6
2933,1988 (61st),Best Picture,Mississippi Burning,"Frederick Zollo and Robert F. Colesberry, Producers",0,Mississippi Burning (1988),6
2934,1988 (61st),Best Picture,Rain Man,"Mark Johnson, Producer",1,Rain Man (1988),6
2935,1988 (61st),Best Picture,Working Girl,"Douglas Wick, Producer",0,Working Girl (1988),6
3055,1987 (60th),Best Picture,Broadcast News,"James L. Brooks, Producer",0,Broadcast News (1987),5
3056,1987 (60th),Best Picture,Fatal Attraction,"Stanley R. Jaffe and Sherry Lansing, Producers",0,Fatal Attraction (1987),5
3057,1987 (60th),Best Picture,Hope and Glory,"John Boorman, Producer",0,Hope and Glory (1987),3
3058,1987 (60th),Best Picture,The Last Emperor,"Jeremy Thomas, Producer",1,The Last Emperor (1987),7
3059,1987 (60th),Best Picture,Moonstruck,"Patrick Palmer and Norman Jewison, Producers",0,Moonstruck (1987),5
3175,1986 (59th),Best Picture,Children of a Lesser God,"Burt Sugarman and Patrick Palmer, Producers",0,Children of a Lesser God (1986),4
3176,1986 (59th),Best Picture,Hannah and Her Sisters,"Robert Greenhut, Producer",0,Hannah and Her Sisters (1986),6
3177,1986 (59th),Best Picture,The Mission,"Fernando Ghia and David Puttnam, Producers",0,The Mission (1986),6
3178,1986 (59th),Best Picture,Platoon,"Arnold Kopelson, Producer",1,Platoon (1986),6
3179,1986 (59th),Best Picture,A Room with a View,"Ismail Merchant, Producer",0,A Room with a View (1986),6
3298,1985 (58th),Best Picture,The Color Purple,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",0,The Color Purple (1985),9
3299,1985 (58th),Best Picture,Kiss of the Spider Woman,"David Weisman, Producer",0,Kiss of the Spider Woman (1985),3
3300,1985 (58th),Best Picture,Out of Africa,"Sydney Pollack, Producer",1,Out of Africa (1985),9
3301,1985 (58th),Best Picture,Prizzi's Honor,"John Foreman, Producer",0,Prizzi's Honor (1985),7
3302,1985 (58th),Best Picture,Witness,"Edward S. Feldman, Producer",0,Witness (1985),6
3417,1984 (57th),Best Picture,Amadeus,"Saul Zaentz, Producer",1,Amadeus (1984),9
3418,1984 (57th),Best Picture,The Killing Fields,"David Puttnam, Producer",0,The Killing Fields (1984),5
3419,1984 (57th),Best Picture,A Passage to India,"John Brabourne and Richard Goodwin, Producers",0,A Passage to India (1984),9
3420,1984 (57th),Best Picture,Places in the Heart,"Arlene Donovan, Producer",0,Places in the Heart (1984),6
3421,1984 (57th),Best Picture,A Soldier's Story,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers",0,A Soldier's Story (1984),2
3535,1983 (56th),Best Picture,The Big Chill,"Michael Shamberg, Producer",0,The Big Chill (1983),2
3536,1983 (56th),Best Picture,The Dresser,"Peter Yates, Producer",0,The Dresser (1983),4
3537,1983 (56th),Best Picture,The Right Stuff,"Irwin Winkler and Robert Chartoff, Producers",0,The Right Stuff (1983),7
3538,1983 (56th),Best Picture,Tender Mercies,"Philip S. Hobel, Producer",0,Tender Mercies (1983),4
3539,1983 (56th),Best Picture,Terms of Endearment,"James L. Brooks, Producer",1,Terms of Endearment (1983),10
3653,1982 (55th),Best Picture,E.T. The Extra-Terrestrial,"Steven Spielberg and Kathleen Kennedy, Producers",0,E.T. The Extra-Terrestrial (1982),6
3654,1982 (55th),Best Picture,Gandhi,"Richard Attenborough, Producer",1,Gandhi (1982),9
3655,1982 (55th),Best Picture,Missing,"Edward Lewis and Mildred Lewis, Producers",0,Missing (1982),3
3656,1982 (55th),Best Picture,Tootsie,"Sydney Pollack and Dick Richards, Producers",0,Tootsie (1982),8
3657,1982 (55th),Best Picture,The Verdict,"Richard D. Zanuck and David Brown, Producers",0,The Verdict (1982),4
3773,1981 (54th),Best Picture,Atlantic City,"Denis Heroux and John Kemeny, Producers",0,Atlantic City (1981),4
3774,1981 (54th),Best Picture,Chariots of Fire,"David Puttnam, Producer",1,Chariots of Fire (1981),6
3775,1981 (54th),Best Picture,On Golden Pond,"Bruce Gilbert, Producer",0,On Golden Pond (1981),8
3776,1981 (54th),Best Picture,Raiders of the Lost Ark,"Frank Marshall, Producer",0,Raiders of the Lost Ark (1981),7
3777,1981 (54th),Best Picture,Reds,"Warren Beatty, Producer",0,Reds (1981),10
3891,1980 (53rd),Best Picture,Coal Miner's Daughter,"Bernard Schwartz, Producer",0,Coal Miner's Daughter (1980),5
3892,1980 (53rd),Best Picture,The Elephant Man,"Jonathan Sanger, Producer",0,The Elephant Man (1980),7
3893,1980 (53rd),Best Picture,Ordinary People,"Ronald L. Schwary, Producer",1,Ordinary People (1980),5
3894,1980 (53rd),Best Picture,Raging Bull,"Irwin Winkler and Robert Chartoff, Producers",0,Raging Bull (1980),7
3895,1980 (53rd),Best Picture,Tess,"Claude Berri, Producer; Timothy Burrill, Co-Producer",0,Tess (1980),5
4007,1979 (52nd),Best Picture,All That Jazz,"Robert Alan Aurthur, Producer",0,All That Jazz (1979),7
4008,1979 (52nd),Best Picture,Apocalypse Now,"Francis Coppola, Producer; Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers",0,Apocalypse Now (1979),6
4009,1979 (52nd),Best Picture,Breaking Away,"Peter Yates, Producer",0,Breaking Away (1979),4
4010,1979 (52nd),Best Picture,Kramer vs. Kramer,"Stanley R. Jaffe, Producer",1,Kramer vs. Kramer (1979),7
4011,1979 (52nd),Best Picture,Norma Rae,"Tamara Asseyev and Alex Rose, Producers",0,Norma Rae (1979),3
4132,1978 (51st),Best Picture,Coming Home,"Jerome Hellman, Producer",0,Coming Home (1978),7
4133,1978 (51st),Best Picture,The Deer Hunter,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers",1,The Deer Hunter (1978),7
4134,1978 (51st),Best Picture,Heaven Can Wait,"Warren Beatty, Producer",0,Heaven Can Wait (1978),7
4135,1978 (51st),Best Picture,Midnight Express,"Alan Marshall and David Puttnam, Producers",0,Midnight Express (1978),5
4136,1978 (51st),Best Picture,An Unmarried Woman,"Paul Mazursky and Tony Ray, Producers",0,An Unmarried Woman (1978),2
4252,1977 (50th),Best Picture,Annie Hall,"Charles H. Joffe, Producer",1,Annie Hall (1977),4
4253,1977 (50th),Best Picture,The Goodbye Girl,"Ray Stark, Producer",0,The Goodbye Girl (1977),4
4254,1977 (50th),Best Picture,Julia,"Richard Roth, Producer",0,Julia (1977),9
4255,1977 (50th),Best Picture,Star Wars,"Gary Kurtz, Producer",0,Star Wars (1977),8
4256,1977 (50th),Best Picture,The Turning Point,"Herbert Ross and Arthur Laurents, Producers",0,The Turning Point (1977),9
4377,1976 (49th),Best Picture,All the President's Men,"Walter Coblenz, Producer",0,All the President's Men (1976),7
4378,1976 (49th),Best Picture,Bound for Glory,"Robert F. Blumofe and Harold Leventhal, Producers",0,Bound for Glory (1976),4
4379,1976 (49th),Best Picture,Network,"Howard Gottfried, Producer",0,Network (1976),8
4380,1976 (49th),Best Picture,Rocky,"Irwin Winkler and Robert Chartoff, Producers",1,Rocky (1976),9
4381,1976 (49th),Best Picture,Taxi Driver,"Michael Phillips and Julia Phillips, Producers",0,Taxi Driver (1976),4
4490,1975 (48th),Best Picture,Barry Lyndon,"Stanley Kubrick, Producer",0,Barry Lyndon (1975),5
4491,1975 (48th),Best Picture,Dog Day Afternoon,"Martin Bregman and Martin Elfand, Producers",0,Dog Day Afternoon (1975),5
4492,1975 (48th),Best Picture,Jaws,"Richard D. Zanuck and David Brown, Producers",0,Jaws (1975),4
4493,1975 (48th),Best Picture,Nashville,"Robert Altman, Producer",0,Nashville (1975),5
4494,1975 (48th),Best Picture,One Flew over the Cuckoo's Nest,"Saul Zaentz and Michael Douglas, Producers",1,One Flew over the Cuckoo's Nest (1975),7
4608,1974 (47th),Best Picture,Chinatown,"Robert Evans, Producer",0,Chinatown (1974),9
4609,1974 (47th),Best Picture,The Conversation,"Francis Ford Coppola, Producer; Fred Roos, Co-Producer",0,The Conversation (1974),2
4610,1974 (47th),Best Picture,The Godfather Part II,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers",1,The Godfather Part II (1974),10
4611,1974 (47th),Best Picture,Lenny,"Marvin Worth, Producer",0,Lenny (1974),4
4612,1974 (47th),Best Picture,The Towering Inferno,"Irwin Allen, Producer",0,The Towering Inferno (1974),7
4723,1973 (46th),Best Picture,American Graffiti,"Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer",0,American Graffiti (1973),4
4724,1973 (46th),Best Picture,Cries and Whispers,"Ingmar Bergman, Producer",0,Cries and Whispers (1973),3
4725,1973 (46th),Best Picture,The Exorcist,"William Peter Blatty, Producer",0,The Exorcist (1973),8
4726,1973 (46th),Best Picture,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers",1,The Sting (1973),8
4727,1973 (46th),Best Picture,A Touch of Class,"Melvin Frank, Producer",0,A Touch of Class (1973),4
4833,1972 (45th),Best Picture,Cabaret,"Cy Feuer, Producer",0,Cabaret (1972),8
4834,1972 (45th),Best Picture,Deliverance,"John Boorman, Producer",0,Deliverance (1972),3
4835,1972 (45th),Best Picture,The Emigrants,"Bengt Forslund, Producer",0,The Emigrants (1972),3
4836,1972 (45th),Best Picture,The Godfather,"Albert S. Ruddy, Producer",1,The Godfather (1972),10
4837,1972 (45th),Best Picture,Sounder,"Robert B. Radnitz, Producer",0,Sounder (1972),3
4948,1971 (44th),Best Picture,A Clockwork Orange,"Stanley Kubrick, Producer",0,A Clockwork Orange (1971),3
4949,1971 (44th),Best Picture,Fiddler on the Roof,"Norman Jewison, Producer",0,Fiddler on the Roof (1971),7
4950,1971 (44th),Best Picture,The French Connection,"Philip D'Antoni, Producer",1,The French Connection (1971),6
4951,1971 (44th),Best Picture,The Last Picture Show,"Stephen J. Friedman, Producer",0,The Last Picture Show (1971),6
4952,1971 (44th),Best Picture,Nicholas and Alexandra,"Sam Spiegel, Producer",0,Nicholas and Alexandra (1971),5
5058,1970 (43rd),Best Picture,Airport,"Ross Hunter, Producer",0,Airport (1970),8
5059,1970 (43rd),Best Picture,Five Easy Pieces,"Bob Rafelson and Richard Wechsler, Producers",0,Five Easy Pieces (1970),3
5060,1970 (43rd),Best Picture,Love Story,"Howard G. Minsky, Producer",0,Love Story (1970),6
5061,1970 (43rd),Best Picture,M*A*S*H,"Ingo Preminger, Producer",0,M*A*S*H (1970),4
5062,1970 (43rd),Best Picture,Patton,"Frank McCarthy, Producer",1,Patton (1970),7
5170,1969 (42nd),Best Picture,Anne of the Thousand Days,"Hal B. Wallis, Producer",0,Anne of the Thousand Days (1969),8
5171,1969 (42nd),Best Picture,Butch Cassidy and the Sundance Kid,"John Foreman, Producer",0,Butch Cassidy and the Sundance Kid (1969),5
5172,1969 (42nd),Best Picture,"Hello, Dolly!","Ernest Lehman, Producer",0,"Hello, Dolly! (1969)",6
5173,1969 (42nd),Best Picture,Midnight Cowboy,"Jerome Hellman, Producer",1,Midnight Cowboy (1969),6
5174,1969 (42nd),Best Picture,Z,"Jacques Perrin and Hamed Rachedi, Producers",0,Z (1969),3
5283,1968 (41st),Best Picture,Funny Girl,"Ray Stark, Producer",0,Funny Girl (1968),7
5284,1968 (41st),Best Picture,The Lion in Winter,"Martin Poll, Producer",0,The Lion in Winter (1968),6
5285,1968 (41st),Best Picture,Oliver!,"John Woolf, Producer",1,Oliver! (1968),9
5286,1968 (41st),Best Picture,"Rachel, Rachel","Paul Newman, Producer",0,"Rachel, Rachel (1968)",3
5287,1968 (41st),Best Picture,Romeo and Juliet,"Anthony Havelock-Allan and John Brabourne, Producers",0,Romeo and Juliet (1968),3
5402,1967 (40th),Best Picture,Bonnie and Clyde,"Warren Beatty, Producer",0,Bonnie and Clyde (1967),8
5403,1967 (40th),Best Picture,Doctor Dolittle,"Arthur P. Jacobs, Producer",0,Doctor Dolittle (1967),7
5404,1967 (40th),Best Picture,The Graduate,"Lawrence Turman, Producer",0,The Graduate (1967),5
5405,1967 (40th),Best Picture,Guess Who's Coming to Dinner,"Stanley Kramer, Producer",0,Guess Who's Coming to Dinner (1967),9
5406,1967 (40th),Best Picture,In the Heat of the Night,"Walter Mirisch, Producer",1,In the Heat of the Night (1967),6
